name,solution
C0000001,0
C0000002,0
C0000003,0
C0000004,0
C0000005,0
C0000006,0
C0000007,0
C0000008,0
C0000009,0
C0000010,0
C0000011,0
C0000012,253
C0000013,0
C0000014,0
C0000015,0
C0000016,0
C0000017,0
C0000018,0
C0000019,257
C0000020,0
C0000021,255
C0000022,0
C0000023,0
C0000024,0
C0000025,0
C0000026,1
C0000027,0
C0000028,0
C0000029,0
C0000030,0
C0000031,1
C0000032,0
C0000033,0
C0000034,0
C0000035,0
C0000036,0
C0000037,0
C0000038,0
C0000039,0
C0000040,0
C0000041,0
C0000042,0
C0000043,0
C0000044,0
C0000045,270
C0000046,270
C0000047,270
C0000048,270
C0000049,271
C0000050,272
C0000051,270
C0000052,270
C0000053,271
C0000054,273
C0000055,9
C0000056,4
C0000057,11
C0000058,262
C0000059,261
C0000060,262
C0000061,268
C0000062,268
C0000063,269
C0000064,269
C0000065,10
C0000066,11
C0000067,268
C0000068,268
C0000069,267
C0000070,269
C0000071,269
C0000072,269
C0000073,271
C0000074,268
C0000075,268
C0000076,269
C0000077,270
C0000078,270
C0000079,270
C0000080,272
C0000081,274
C0000082,3
C0000083,3
C0000084,4
C0000085,0
C0000086,0
C0000087,1
